plot_key,lat6,lon6,district,block,habitation,site_polygon,n_records,n_trees,loreys_h_m,loreys_h_tree_m,h_top5_m,crown_cover_pct,sal_ba_frac,n_species,dbh_mean_cm,no_tree_record,sp_ba_json,v120_3ha_merged_id,v120_3ha_merged_cluster,v120_3ha_merged_area_ha,v120_3ha_merged_bdist_m,v120_3ha_snic_id,v120_3ha_snic_cluster,v120_3ha_snic_area_ha,v120_3ha_snic_bdist_m,v120_3ha_dissolved_id,v120_3ha_dissolved_cluster,v120_3ha_dissolved_area_ha,v120_3ha_dissolved_bdist_m
18.55814_82.928984,18.55814,82.928984,KORAPUT,POTTANGI,CHAMPAKENDA,,12,5,12.848675350827513,12.939010466222646,8.4,33.0,0.0,3,21.645072260497766,False,"{""bixa orellana"": 5.889, ""mangifera indica"": 1696.273, ""other"": 402.264, ""psidium guajava"": 0.318, ""terminalia bellirica"": 417.623, ""ziziphus oenoplia"": 6.764}",,,,,,,,,,,,
18.575806_82.837232,18.575806,82.837232,KORAPUT,SEMILIGUDA,HANDAPUR,,13,8,5.276425712718289,5.3344591425086785,5.4,28.0,0.0,6,11.180634752205648,False,"{""albizia lebbeck"": 114.91, ""buchanania lanzan"": 3.899, ""emblica officinal"": 31.831, ""holarrhena antidysenterica"": 47.988, ""mangifera indica"": 97.482, ""pitamari"": 3.899, ""pterocarpus marsupium"": 5.093, ""shrub bhandari"": 1.273, ""terminalia bellirica"": 315.525, ""tree tangiachina"": 242.632}",235.0,0.0,1.705092983042098,9.843234160471189,,,,,,,,
18.576485_82.834653,18.576485,82.834653,KORAPUT,SEMILIGUDA,HANDAPUR,,13,7,4.678354368337214,4.829299526187731,5.2,28.0,0.0,5,10.2313891987647,False,"{""albizia lebbeck"": 276.054, ""bauhinia vahlii"": 7.958, ""cassia fistula"": 103.928, ""cipadessa baccifera"": 1.989, ""climber2 nihali"": 1.273, ""emblica officinal"": 6.446, ""eucalyptus spp"": 32.627, ""mangifera indica"": 42.096, ""syzygium cumini"": 177.06}",222.0,1.0,2.90869715564652,4.766769015568314,898861773.0,1.0,0.6920693850366557,4.766769015568314,315.0,1.0,26.92614072671071,36.6960798279944
18.576947_82.837561,18.576947,82.837561,KORAPUT,SEMILIGUDA,HANDAPUR,,18,10,5.865490278697405,5.947261413344833,6.4,33.0,0.0,8,12.191268640839183,False,"{""acacia concinna"": 38.515, ""albizia lebbeck"": 344.491, ""anacardium semecarpus"": 38.277, ""cassia fistula"": 5.093, ""cipadessa baccifera"": 5.093, ""emblica officinal"": 0.716, ""holarrhena antidysenterica"": 68.914, ""lantana camara"": 3.899, ""mangifera indica"": 177.299, ""pitamari"": 0.716, ""pterocarpus marsupium"": 215.177, ""schleichera oleosa"": 277.009, ""syzygium cumini"": 146.82}",240.0,1.0,2.988925408960374,16.719231432526485,-1295705327.0,1.0,0.9729049899919162,3.28076861465864,315.0,1.0,26.92614072671071,14.12076994427334
18.577371_82.836942,18.577371,82.836942,KORAPUT,SEMILIGUDA,HANDAPUR,,9,6,4.989821882951655,5.035647976234682,5.2,23.0,0.0,6,9.23098669932993,False,"{""albizia lebbeck"": 97.482, ""cassia fistula"": 58.887, ""diospyros melanoxylon"": 38.515, ""gmelina arborea"": 1.273, ""morinda tinctoria"": 2.865, ""psidium guajava"": 25.783, ""pterocarpus marsupium"": 121.037, ""schleichera oleosa"": 91.992}",232.0,1.0,2.9287497534225184,33.04595600720989,923345304.0,1.0,0.8224566075497276,4.229699338697172,315.0,1.0,26.92614072671071,73.1559550578068
18.577439_82.833436,18.577439,82.833436,KORAPUT,SEMILIGUDA,HANDAPUR,,36,19,4.511334734629531,4.717514124293785,5.0,38.0,0.0,9,8.041512914116817,False,"{""albizia lebbeck"": 118.57, ""anacardium occidentale"": 42.096, ""anacardium semecarpus"": 183.108, ""bauhinia vahlii"": 0.716, ""buchanania lanzan"": 383.245, ""cipadessa baccifera"": 26.579, ""holarrhena antidysenterica"": 42.096, ""lantana camara"": 9.231, ""mangifera indica"": 35.73, ""psidium guajava"": 35.094, ""shrub4 badari"": 1.989, ""syzygium cumini"": 105.44, ""termanalia chebula"": 73.609, ""ziziphus oenoplia"": 2.546}",220.0,1.0,2.688037665658578,17.31161242809305,1519423964.0,1.0,0.36107981586486687,12.695060743156876,315.0,1.0,26.92614072671071,78.70687662759961
18.577547_82.836866,18.577547,82.836866,KORAPUT,SEMILIGUDA,HANDAPUR,,34,16,7.759958082656842,7.809803602178061,8.0,28.0,0.0,9,18.26302971979499,False,"{""albizia lebbeck"": 133.77, ""buchanania lanzan"": 269.29, ""cassia fistula"": 81.487, ""cipadessa baccifera"": 17.189, ""emblica officinal"": 87.933, ""ficus benghalensis"": 5351.665, ""lantana camara"": 1.989, ""mangifera indica"": 576.937, ""mimosa rubicaulis"": 4.854, ""psidium guajava"": 42.096, ""shrub4 badari"": 11.937, ""syzygium cumini"": 116.899, ""termanalia chebula"": 194.965, ""ziziphus oenoplia"": 0.318}",232.0,1.0,2.9287497534225184,41.0448269707201,1321189060.0,1.0,0.1705093476522296,10.42683831271074,315.0,1.0,26.92614072671071,93.27655549865169
18.577639_82.837776,18.577639,82.837776,KORAPUT,SEMILIGUDA,HANDAPUR,,34,17,6.069422355975924,6.087089738263398,12.2,33.0,0.0,6,17.338526741540598,False,"{""anacardium semecarpus"": 726.144, ""buchanania lanzan"": 6.366, ""cipadessa baccifera"": 6.844, ""emblica officinal"": 49.736, ""lantana camara"": 5.491, ""mangifera indica"": 3006.039, ""mimosa rubicaulis"": 1.273, ""santalum album"": 45.837, ""syzygium cumini"": 550.278, ""termanalia chebula"": 228.069, ""ziziphus oenoplia"": 1.353}",232.0,1.0,2.9287497534225184,4.8075525611307635,923345304.0,1.0,0.8224566075497276,4.807552429718376,315.0,1.0,26.92614072671071,56.61670426903534
18.577673_82.838437,18.577673,82.838437,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5,5.2146975291110484,5.3116673986239205,5.4,38.0,0.0,3,11.522817879853223,False,"{""bixa orellana"": 253.136, ""buchanania lanzan"": 42.096, ""holarrhena antidysenterica"": 5.093, ""pitamari"": 8.435, ""schleichera oleosa"": 248.361, ""shrub bhandari"": 1.989, ""tree tendka"": 1.273}",240.0,1.0,2.988925408960374,9.188704794110905,-1295705327.0,1.0,0.9729049899919162,9.188704794110905,315.0,1.0,26.92614072671071,7.058612299337014
18.577748_82.835758,18.577748,82.835758,KORAPUT,SEMILIGUDA,HANDAPUR,,37,18,7.230954330762174,7.319768845954806,7.6,23.0,0.0,7,16.02159760458413,False,"{""albizia lebbeck"": 66.925, ""buchanania lanzan"": 168.147, ""cipadessa baccifera"": 19.337, ""emblica officinal"": 107.589, ""holarrhena antidysenterica"": 17.985, ""lantana camara"": 1.989, ""mangifera indica"": 3001.583, ""pandaka"": 25.385, ""shrub4 badari"": 3.263, ""syzygium cumini"": 161.144, ""termanalia chebula"": 900.737, ""terminalia bellirica"": 206.981, ""ziziphus oenoplia"": 2.706}",232.0,1.0,2.9287497534225184,12.634700465695792,-41161782.0,1.0,0.571708657097292,6.2232482008404615,315.0,1.0,26.92614072671071,95.38275113944015
